Timestamp,1- ¿Como describiria el nivel tecnologico con el que opera en su lugar de trabajo?,2- ¿Cuanto tiempo estima que usted o su equipo pierden a la semana realizando tareas repetitivas o que puedan ser automatizada?,"3 - ¿Como se almacena actualmente la información importante en su lugar de trabajo (inventario, datos de cliente, ventas diarias)?","4 - ¿Cree que su negocio está perdiendo dinero, clientes o oportunidades de crecimiento debido a falta de organización o lentitud en procesos?",5- ¿Que tan dispuesto estaria a implementar un sistema o programa a la medida que automatice el trabajo pesado para su negocio?,6- ¿Cual considera que son sus principales frenos para automatizar o modernizar los procesos de su empresa?,"7- ¿Estaría dispuesto a contar con un equipo tecnológico externo que conozca su negocio y se encargue continuamente del soporte, mantenimiento y mejora de sus sistemas?","8- ¿Qué tan dispuesto(a) estaría a aprender y utilizar nuevas tecnologías que puedan ayudarle a ahorrar tiempo, reducir costos y mejorar la gestión de su negocio?",9- ¿Qué sería lo más importante para usted al momento de decidir implementar una nueva herramienta tecnológica en su negocio?,"10- Si pudiera mejorar o automatizar un solo proceso de su negocio hoy, ¿cuál elegiría y qué problema le está causando actualmente?",score_madurez_1_4,horas_estimadas_semana,score_dolor_1_5,score_disposicion_1_4,score_equipo_externo_1_4,score_aprendizaje_1_4,indice_oportunidad_0_100,nivel_oportunidad,segmento_comercial
2026/08/14 12:59:51 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Aumente mis ingresos;Facilidad de uso,Mejoraría las cotizaciones porque causa olvidos para controlar mejor los costos.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:51 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Aumente mis ingresos;Facilidad de uso,Mejoraría el control de gastos porque no tiene responsables claros para evitar tareas repetidas.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 12:59:51 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el registro de proveedores porque se maneja de forma dispersa para reducir errores.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:51 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible,Mejoraría los indicadores porque requiere mucho trabajo manual para aumentar la productividad.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 12:59:52 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Facilidad de uso,Mejoraría la comunicación con clientes porque requiere revisar varios archivos para aumentar la productividad.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 12:59:52 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el seguimiento de garantías porque impide medir resultados para ahorrar tiempo.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 12:59:52 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría la planificación semanal porque quita tiempo al equipo para tener información centralizada.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:52 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el registro de proveedores porque genera duplicados para tener información centralizada.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 12:59:52 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Aumente mis ingresos,Mejoraría la atención de consultas porque se actualiza tarde para mejorar el servicio.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:52 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Aumente mis ingresos;Facilidad de uso,Mejoraría la atención de consultas porque no tiene alertas para controlar mejor los costos.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 12:59:56 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el control de caja porque se pierde información para aumentar la productividad.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:56 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el archivo de documentos porque requiere mucho trabajo manual para evitar tareas repetidas.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 12:59:57 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible,Mejoraría la atención de consultas porque dificulta dar seguimiento para controlar mejor los costos.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:57 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos,Mejoraría los indicadores porque depende de hojas de cálculo para mejorar el servicio.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 12:59:57 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría los turnos del equipo porque retrasa las decisiones para mejorar el servicio.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 12:59:57 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Facilidad de uso,Mejoraría el seguimiento de clientes porque hace difícil encontrar datos para controlar mejor los costos.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:57 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el inventario porque limita el crecimiento para reducir errores.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 12:59:58 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Facilidad de uso,Mejoraría la atención de consultas porque requiere mucho trabajo manual para responder más rápido.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:59 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría la planificación semanal porque no deja ver el estado real para controlar mejor los costos.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 12:59:59 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Facilidad de uso,Mejoraría la agenda de citas porque complica la coordinación para ahorrar tiempo.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 12:59:59 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio,Mejoraría la atención de consultas porque produce retrasos para ordenar el trabajo.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:00 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Facilidad de uso,Mejoraría el archivo de documentos porque limita el crecimiento para reducir errores.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 1:00:01 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Facilidad de uso,Mejoraría el control de caja porque requiere mucho trabajo manual para controlar mejor los costos.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:01 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Aumente mis ingresos,Mejoraría el registro de proveedores porque provoca errores para mejorar el servicio.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:01 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos,Mejoraría los contratos porque provoca errores para tomar decisiones con datos.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:01 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría las tareas recurrentes porque dificulta dar seguimiento para ordenar el trabajo.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:01 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría la agenda de citas porque produce retrasos para aumentar la productividad.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:01 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Facilidad de uso,Mejoraría los indicadores porque causa olvidos para responder más rápido.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:02 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Aumente mis ingresos,Mejoraría el archivo de documentos porque requiere mucho trabajo manual para ahorrar tiempo.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 1:00:02 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría las ventas diarias porque depende de hojas de cálculo para ahorrar tiempo.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:04 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible,Mejoraría las solicitudes internas porque no tiene responsables claros para aumentar la productividad.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 1:00:05 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio,Mejoraría el control de gastos porque dificulta dar seguimiento para tomar decisiones con datos.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:05 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Aumente mis ingresos,Mejoraría las ventas diarias porque produce retrasos para ahorrar tiempo.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 1:00:05 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el inventario porque no deja ver el estado real para aumentar la productividad.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:06 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría las compras porque se pierde información para aumentar la productividad.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:06 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el inventario porque no deja ver el estado real para responder más rápido.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:06 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos,Mejoraría los turnos del equipo porque causa olvidos para ordenar el trabajo.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:06 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría las tareas recurrentes porque depende de hojas de cálculo para controlar mejor los costos.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:06 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Facilidad de uso,Mejoraría las órdenes de trabajo porque impide medir resultados para reducir errores.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:07 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible,Mejoraría las compras porque provoca errores para ahorrar tiempo.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 1:00:07 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría la atención de consultas porque causa olvidos para tener información centralizada.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 1:00:08 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio,Mejoraría los pagos pendientes porque se actualiza tarde para controlar mejor los costos.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:08 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio,Mejoraría las ventas diarias porque dificulta dar seguimiento para evitar tareas repetidas.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:09 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Facilidad de uso,Mejoraría el control de gastos porque quita tiempo al equipo para mejorar el servicio.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:10 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el seguimiento de clientes porque se actualiza tarde para reducir errores.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:10 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Facilidad de uso,Mejoraría la planificación semanal porque causa olvidos para reducir errores.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:10 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría los reportes porque limita el crecimiento para evitar tareas repetidas.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:10 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Aumente mis ingresos;Facilidad de uso,Mejoraría la agenda de citas porque se pierde información para tomar decisiones con datos.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:10 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Facilidad de uso,Mejoraría los contratos porque dificulta dar seguimiento para reducir errores.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:12 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría los pedidos porque no tiene alertas para responder más rápido.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:12 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos,Mejoraría el seguimiento de garantías porque se pierde información para tomar decisiones con datos.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:13 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",3,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Facilidad de uso,Mejoraría las facturas porque causa olvidos para controlar mejor los costos.,1,7.5,3,3,4,4,79.44,Muy alta,Educar y nutrir
2026/08/14 1:00:14 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",4,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el control de gastos porque limita el crecimiento para ordenar el trabajo.,1,7.5,4,3,4,4,83.61,Muy alta,Listo para vender
2026/08/14 1:00:14 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Facilidad de uso,Mejoraría el inventario porque se pierde información para controlar mejor los costos.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
2026/08/14 1:00:14 p.m. CST,Muy Bajo,Entre 5 y 10 horas a la semana,"En libretas, folders o agendas físicas",5,Dispuesto,Desconocimiento sobre que opciones existen,Definitivamente,Muy Dispuesto,Precio accesible;Aumente mis ingresos;Facilidad de uso,Mejoraría el archivo de documentos porque se actualiza tarde para mejorar el servicio.,1,7.5,5,3,4,4,87.78,Muy alta,Listo para vender
